tweet,sentiment,highlight
-Lily chou ha ta3emle men ba3ed ma tetkharaje ? -nem. ,Negative,Joke
“@NellyGeorgeHarb: L ta2es ktir mounesab ta nekol hawa” Mnekol nekat kamena aw la2 ? :p ,Negative,None
@_Nikkiie_ w er :p,Negative,Foul language
@7Merhi hayda ya3ne l wahad byeje nos kherfen nos majnun :p,Negative,None
@AbouNajemElie ltagha l machrou3 w chakle metlak 7a nem ;) w chakle 7a esba2ak loll ,Negative,None
@ahmadabdallah88 hayda dalil edde ahrinak :p,Negative,Bullying
@AhmaddOssaily @ReeemAjam aslan hayda l shaytan li sharreke yeh la2an amerkene,Negative,None
@ahmadmadi12 kif l helo lyom? Miss u :( mwah ,Negative,None
@AhmadSharara bas 7asse twitter 7ay2oum 3layye :p ktir majlou2in fiyun enno ma khalas kello a team..,Negative,None
@alijaafar54321 hayda 3ana b lebnen ? ðŸ˜³ðŸ˜³ðŸ˜³,Negative,None
@AliJMansour @BoshraTweets mafi majel lal mu2araneh haydak dress bikel me3na lkelmeh hayda charchaf ma3 berdeye lezim tnedeh bayadat lal be3 ,Negative,Bullying
@AliJMansour @HaifaWehbe trikou y3aweh la 7alo ana ma 7a 2ora chu 2al hayda lwateh ra7it 3lei ra7 ymout min ghirto mn naje7at haifa !,Negative,None
@AliKaraki91 no hl2 b2ulo b7bik metel el mar7aba l7ob sar bayekh ktir,Negative,None
@AliKaraki91 ta tchouf adde mech taye2on lal engliz chouf chou 7eke 3anon ba3ed el game,Negative,None
@AlineTanoury mmmmm chou belik fadeh ekhir hal leillll belik bi dalida w ziad w eza habbo ba3doun tarako ba3doun lollll chou hal adar ,Negative,None
@alitahini machghoul bele 3alek ktir ya habibe! 3tine khabar eza bayyan chi ma3ak.. wallahi albe 3lek ya khayye,Negative,None
@AmaniEzzeddine laaaa hayda esmo jahal:P,Negative,Bullying
@AmmarFadlallah @HadyDoughman 3ayb 3lek ya sayid..zolom hayda biseer :P,Negative,Sarcasm
@AndreaJadaa chou rah na3mel lal presentation boukra? hesse rah nos2ot bi ouwe,Negative,None
@AndrewBachir bass wla,Negative,None
@AndrewBachir toz 3leik ðŸ˜œ,Negative,Foul language
@AsmarMaria 3anjed eno ana aw2at lama chufik 3am tdakhne b sir ma3e bonner! Min hal ahbal hayda li ma bye2ta3 wala b2ay tari2a,Negative,Foul language
@audreyakl5 aanjad proud.. ana baadne bkhaf men hal chi,Negative,None
@ayafares @TheseDamnQuote chou b fahmik ente aslan. Ktir sa3be hay,Negative,None
@ayoubjanine ummm anaaaa walla lyom 3am zawim hatta wl ac mdawar hahahah seret mhamam 3 marrat lolll w now feyit ktir chob w ess,Negative,Foul language
@aziz1617 la2ano ktir z3elet ana... Hahahahaha btw ya habiile unfollowed**** ,Negative,None
@beainio Wlak yeslam timmak 3ala hal 7akki...ktir saar fi bala sharaf!!!! ,Negative,Foul language
@BobFanous Mish defensively azde bass eno ma ken fi ktir chances w plays helwin w hek,Negative,None
@ChaficAtallah @maxwont khaye mar chabel ma hada ba arreb 3lei chou fehem ? ,Negative,None
@ChaficAtallah skot chafic ,Negative,None
@CharbelGhsoub mech hayda yale ken ykun fi mounesabet lal ouwet yrouh y3alle2 a3lem? sar bado y7allil,Negative,None
@Charbelonsky @JuniiiR eza tom ford tole3 ma3ak hek c grave :p,Negative,Sarcasm
@cherif_allam hottellak chi soura m3atmeh aktar,Negative,Bullying
@christelle1612wlek a7la chou mno23oddd ma3 l z8arr :/ ? ,Negative,None
@christybarakat ken fi ktir talej bs 3elyet el harara ktir so faraya msakra ARZ MSAKRA fi bs laklouk wel laklouk&lt;&lt;&lt;,Negative,Known fact
@Cybele_reaidy @ChaficAtallah ma fi ra7a,Negative,None
"@Cybele_reaidy bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua ""favorite verse"" shou fahamik..",Negative,None
